ano,mes,sigla_uf,ddd,tecnologia,sinal,acessos
2009,2,AC,68,CDMA IS 95,2G,44429
2009,2,AC,68,CDMA2000,2G,540
2009,2,AC,68,Dados > 256kbps,3G,1639
2009,2,AC,68,Dados até 256kbps,2G,5966
2009,2,AC,68,GSM,2G,413600
2009,2,AC,68,WCDMA,3G,7165
2009,2,AL,82,AMPS,1G,80
2009,2,AL,82,Dados > 256kbps,3G,4160
2009,2,AL,82,Dados até 256kbps,2G,14720
2009,2,AL,82,GSM,2G,1968675
2009,2,AL,82,TDMA,2G,16779
2009,2,AL,82,WCDMA,3G,4140
2009,2,AM,92,CDMA IS 95,2G,157539
2009,2,AM,92,CDMA2000,2G,1917
2009,2,AM,92,Dados > 256kbps,3G,14311
2009,2,AM,92,Dados até 256kbps,2G,11331
2009,2,AM,92,GSM,2G,1890517
2009,2,AM,92,WCDMA,3G,16141
2009,2,AM,97,CDMA IS 95,2G,2490
2009,2,AM,97,CDMA2000,2G,14
2009,2,AM,97,Dados > 256kbps,3G,45
2009,2,AM,97,Dados até 256kbps,2G,48
2009,2,AM,97,GSM,2G,82271
2009,2,AM,97,WCDMA,3G,134
2009,2,AP,96,CDMA IS 95,2G,30920
2009,2,AP,96,CDMA2000,2G,392
2009,2,AP,96,Dados > 256kbps,3G,1855
2009,2,AP,96,Dados até 256kbps,2G,3560
2009,2,AP,96,GSM,2G,390606
2009,2,AP,96,WCDMA,3G,2545
2009,2,BA,71,CDMA IS 95,2G,208928
2009,2,BA,71,CDMA2000,2G,6232
2009,2,BA,71,Dados > 256kbps,3G,23736
2009,2,BA,71,Dados até 256kbps,2G,67161
2009,2,BA,71,GSM,2G,3936978
2009,2,BA,71,TDMA,2G,7585
2009,2,BA,71,WCDMA,3G,23242
2009,2,BA,73,CDMA IS 95,2G,114904
2009,2,BA,73,CDMA2000,2G,1334
2009,2,BA,73,Dados > 256kbps,3G,4282
2009,2,BA,73,Dados até 256kbps,2G,5355
2009,2,BA,73,GSM,2G,1166065
2009,2,BA,73,TDMA,2G,1644
2009,2,BA,73,WCDMA,3G,3045
2009,2,BA,74,CDMA IS 95,2G,55107
2009,2,BA,74,CDMA2000,2G,545
2009,2,BA,74,Dados > 256kbps,3G,1509
2009,2,BA,74,Dados até 256kbps,2G,1210
2009,2,BA,74,GSM,2G,500799
2009,2,BA,74,TDMA,2G,1527
2009,2,BA,74,WCDMA,3G,1011
2009,2,BA,75,CDMA IS 95,2G,159592
2009,2,BA,75,CDMA2000,2G,1645
2009,2,BA,75,Dados > 256kbps,3G,4517
2009,2,BA,75,Dados até 256kbps,2G,9214
2009,2,BA,75,GSM,2G,1721913
2009,2,BA,75,TDMA,2G,4988
2009,2,BA,75,WCDMA,3G,4442
2009,2,BA,77,CDMA IS 95,2G,102391
2009,2,BA,77,CDMA2000,2G,1371
2009,2,BA,77,Dados > 256kbps,3G,4009
2009,2,BA,77,Dados até 256kbps,2G,4951
2009,2,BA,77,GSM,2G,756604
2009,2,BA,77,TDMA,2G,1813
